,Acc,Round
0,0.7351666666666666,0
1,0.751,1
2,0.7681666666666667,2
3,0.7261666666666666,3
4,0.7901666666666667,4
5,0.8536666666666667,5
6,0.7851666666666667,6
7,0.7786666666666666,7
8,0.8355,8
9,0.8123333333333334,9
10,0.8216666666666667,10
11,0.8825,11
12,0.8361666666666666,12
13,0.8103333333333333,13
14,0.8595,14
15,0.8708333333333333,15
16,0.819,16
17,0.8198333333333333,17
18,0.8738333333333334,18
19,0.7495,19
20,0.8083333333333333,20
21,0.6071666666666666,0
22,0.7225,1
23,0.851,2
24,0.7431666666666666,3
25,0.7493333333333333,4
26,0.786,5
27,0.7896666666666666,6
28,0.723,7
29,0.7983333333333333,8
30,0.8488333333333333,9
31,0.7986666666666666,10
32,0.803,11
33,0.8363333333333334,12
34,0.7963333333333333,13
35,0.825,14
36,0.7818333333333334,15
37,0.7945,16
38,0.8288333333333333,17
39,0.7525,18
40,0.8198333333333333,19
41,0.8556666666666667,20
42,0.676,0
43,0.7938333333333333,1
44,0.8261666666666667,2
45,0.823,3
46,0.8138333333333333,4
47,0.8421666666666666,5
48,0.7866666666666666,6
49,0.8843333333333333,7
50,0.8438333333333333,8
51,0.7545,9
52,0.8405,10
53,0.837,11
54,0.852,12
55,0.8598333333333333,13
56,0.8135,14
57,0.7551666666666667,15
58,0.8076666666666666,16
59,0.8031666666666667,17
60,0.7895,18
61,0.8483333333333334,19
62,0.8211666666666667,20
63,0.2781666666666667,0
64,0.769,1
65,0.7143333333333334,2
66,0.7441666666666666,3
67,0.7991666666666667,4
68,0.8123333333333334,5
69,0.7611666666666667,6
70,0.8036666666666666,7
71,0.7698333333333334,8
72,0.8355,9
73,0.809,10
74,0.7888333333333334,11
75,0.7893333333333333,12
76,0.8405,13
77,0.772,14
78,0.8176666666666667,15
79,0.775,16
80,0.7486666666666667,17
81,0.7305,18
82,0.5973333333333334,19
83,0.763,20
84,0.606,0
85,0.743,1
86,0.7661666666666667,2
87,0.7633333333333333,3
88,0.6986666666666667,4
89,0.7653333333333333,5
90,0.8186666666666667,6
91,0.7775,7
92,0.7748333333333334,8
93,0.8283333333333334,9
94,0.7645,10
95,0.7023333333333334,11
96,0.7291666666666666,12
97,0.6668333333333333,13
98,0.7701666666666667,14
99,0.7551666666666667,15
100,0.7818333333333334,16
101,0.7038333333333333,17
102,0.7643333333333333,18
103,0.7383333333333333,19
104,0.7628333333333334,20
105,0.6053333333333333,0
106,0.788,1
107,0.814,2
108,0.7995,3
109,0.8226666666666667,4
110,0.8275,5
111,0.8118333333333333,6
112,0.8458333333333333,7
113,0.8276666666666667,8
114,0.8608333333333333,9
115,0.8123333333333334,10
116,0.8308333333333333,11
117,0.8395,12
118,0.8026666666666666,13
119,0.8585,14
120,0.8061666666666667,15
121,0.7641666666666667,16
122,0.8546666666666667,17
123,0.818,18
124,0.8135,19
125,0.852,20
126,0.7423333333333333,0
127,0.7353333333333333,1
128,0.7876666666666666,2
129,0.8118333333333333,3
130,0.7933333333333333,4
131,0.8011666666666667,5
132,0.826,6
133,0.8281666666666667,7
134,0.8406666666666667,8
135,0.8513333333333334,9
136,0.8411666666666666,10
137,0.8166666666666667,11
138,0.8193333333333334,12
139,0.8558333333333333,13
140,0.8371666666666666,14
141,0.8421666666666666,15
142,0.7715,16
143,0.8368333333333333,17
144,0.8021666666666667,18
145,0.877,19
146,0.8796666666666667,20
147,0.562,0
148,0.806,1
149,0.8211666666666667,2
150,0.7828333333333334,3
151,0.8116666666666666,4
152,0.8023333333333333,5
153,0.8071666666666667,6
154,0.8393333333333334,7
155,0.7313333333333333,8
156,0.8471666666666666,9
157,0.8445,10
158,0.7935,11
159,0.8275,12
160,0.8433333333333334,13
161,0.7853333333333333,14
162,0.741,15
163,0.839,16
164,0.8321666666666667,17
165,0.8225,18
166,0.7446666666666667,19
167,0.7845,20
168,0.7196666666666667,0
169,0.7945,1
170,0.8006666666666666,2
171,0.8148333333333333,3
172,0.8243333333333334,4
173,0.7966666666666666,5
174,0.8056666666666666,6
175,0.808,7
176,0.7871666666666667,8
177,0.7776666666666666,9
178,0.851,10
179,0.8173333333333334,11
180,0.841,12
181,0.8546666666666667,13
182,0.8488333333333333,14
183,0.8028333333333333,15
184,0.837,16
185,0.7845,17
186,0.8388333333333333,18
187,0.8801666666666667,19
188,0.8396666666666667,20
189,0.6281666666666667,0
190,0.7971666666666667,1
191,0.8011666666666667,2
192,0.8158333333333333,3
193,0.7465,4
194,0.8676666666666667,5
195,0.811,6
196,0.7498333333333334,7
197,0.8235,8
198,0.7895,9
199,0.8236666666666667,10
200,0.7776666666666666,11
201,0.8276666666666667,12
202,0.8203333333333334,13
203,0.8316666666666667,14
204,0.743,15
205,0.7891666666666667,16
206,0.7866666666666666,17
207,0.8615,18
208,0.809,19
209,0.8553333333333333,20
