,Acc,Round
0,0.5431666666666667,0
1,0.7803333333333333,1
2,0.8401666666666666,2
3,0.8013333333333333,3
4,0.7898333333333334,4
5,0.8215,5
6,0.5231666666666667,0
7,0.7641666666666667,1
8,0.748,2
9,0.8036666666666666,3
10,0.814,4
11,0.8073333333333333,5
12,0.29983333333333334,0
13,0.7866666666666666,1
14,0.8276666666666667,2
15,0.7925,3
16,0.7771666666666667,4
17,0.7976666666666666,5
18,0.5493333333333333,0
19,0.8076666666666666,1
20,0.804,2
21,0.8536666666666667,3
22,0.803,4
23,0.8161666666666667,5
24,0.37383333333333335,0
25,0.7086666666666667,1
26,0.6855,2
27,0.7756666666666666,3
28,0.6755,4
29,0.7656666666666667,5
30,0.5901666666666666,0
31,0.8278333333333333,1
32,0.788,2
33,0.8298333333333333,3
34,0.8091666666666667,4
35,0.8451666666666666,5
36,0.7811666666666667,0
37,0.761,1
38,0.8438333333333333,2
39,0.8068333333333333,3
40,0.855,4
41,0.8323333333333334,5
42,0.5741666666666667,0
43,0.7953333333333333,1
44,0.7928333333333333,2
45,0.7851666666666667,3
46,0.7966666666666666,4
47,0.8673333333333333,5
48,0.37033333333333335,0
49,0.7351666666666666,1
50,0.6976666666666667,2
51,0.7558333333333334,3
52,0.7613333333333333,4
53,0.7876666666666666,5
54,0.693,0
55,0.7518333333333334,1
56,0.8413333333333334,2
57,0.8188333333333333,3
58,0.8163333333333334,4
59,0.7938333333333333,5
