,Acc,Round
0,0.7351666666666666,0
1,0.7985,1
2,0.772,2
3,0.8031666666666667,3
4,0.7135,4
5,0.8411666666666666,5
6,0.8233333333333334,6
7,0.8403333333333334,7
8,0.7638333333333334,8
9,0.825,9
10,0.8228333333333333,10
11,0.8476666666666667,11
12,0.8513333333333334,12
13,0.8668333333333333,13
14,0.7858333333333334,14
15,0.8455,15
16,0.8573333333333333,16
17,0.8741666666666666,17
18,0.794,18
19,0.8311666666666667,19
20,0.7638333333333334,20
21,0.6071666666666666,0
22,0.7843333333333333,1
23,0.796,2
24,0.8403333333333334,3
25,0.8153333333333334,4
26,0.7498333333333334,5
27,0.7808333333333334,6
28,0.8088333333333333,7
29,0.8361666666666666,8
30,0.7993333333333333,9
31,0.8898333333333334,10
32,0.826,11
33,0.8165,12
34,0.7923333333333333,13
35,0.8761666666666666,14
36,0.8621666666666666,15
37,0.7833333333333333,16
38,0.7215,17
39,0.8091666666666667,18
40,0.811,19
41,0.7735,20
42,0.676,0
43,0.8368333333333333,1
44,0.7806666666666666,2
45,0.8373333333333334,3
46,0.8168333333333333,4
47,0.8351666666666666,5
48,0.8173333333333334,6
49,0.8028333333333333,7
50,0.7961666666666667,8
51,0.8513333333333334,9
52,0.8445,10
53,0.7635,11
54,0.8226666666666667,12
55,0.8258333333333333,13
56,0.8271666666666667,14
57,0.8448333333333333,15
58,0.834,16
59,0.8396666666666667,17
60,0.8348333333333333,18
61,0.8373333333333334,19
62,0.8148333333333333,20
63,0.2781666666666667,0
64,0.7343333333333333,1
65,0.7621666666666667,2
66,0.6676666666666666,3
67,0.6898333333333333,4
68,0.6826666666666666,5
69,0.7616666666666667,6
70,0.7321666666666666,7
71,0.7905,8
72,0.754,9
73,0.7253333333333334,10
74,0.7131666666666666,11
75,0.664,12
76,0.7083333333333334,13
77,0.6921666666666667,14
78,0.78,15
79,0.7638333333333334,16
80,0.7816666666666666,17
81,0.782,18
82,0.7326666666666667,19
83,0.683,20
84,0.606,0
85,0.769,1
86,0.7288333333333333,2
87,0.6856666666666666,3
88,0.7823333333333333,4
89,0.7558333333333334,5
90,0.706,6
91,0.827,7
92,0.8205,8
93,0.6843333333333333,9
94,0.8073333333333333,10
95,0.854,11
96,0.7948333333333333,12
97,0.7833333333333333,13
98,0.7628333333333334,14
99,0.7418333333333333,15
100,0.7958333333333333,16
101,0.79,17
102,0.7473333333333333,18
103,0.7423333333333333,19
104,0.7156666666666667,20
105,0.6053333333333333,0
106,0.7733333333333333,1
107,0.8306666666666667,2
108,0.8406666666666667,3
109,0.796,4
110,0.851,5
111,0.8621666666666666,6
112,0.8661666666666666,7
113,0.795,8
114,0.8426666666666667,9
115,0.8343333333333334,10
116,0.7625,11
117,0.8245,12
118,0.8666666666666667,13
119,0.8361666666666666,14
120,0.7976666666666666,15
121,0.8416666666666667,16
122,0.83,17
123,0.7985,18
124,0.8203333333333334,19
125,0.879,20
126,0.7423333333333333,0
127,0.7653333333333333,1
128,0.768,2
129,0.7606666666666667,3
130,0.7858333333333334,4
131,0.7421666666666666,5
132,0.8283333333333334,6
133,0.8388333333333333,7
134,0.8273333333333334,8
135,0.7833333333333333,9
136,0.8323333333333334,10
137,0.8298333333333333,11
138,0.8095,12
139,0.7953333333333333,13
140,0.7706666666666667,14
141,0.8231666666666667,15
142,0.8736666666666667,16
143,0.8516666666666667,17
144,0.8041666666666667,18
145,0.7911666666666667,19
146,0.847,20
147,0.562,0
148,0.693,1
149,0.7966666666666666,2
150,0.7361666666666666,3
151,0.8141666666666667,4
152,0.7788333333333334,5
153,0.8031666666666667,6
154,0.8258333333333333,7
155,0.8075,8
156,0.829,9
157,0.8115,10
158,0.848,11
159,0.7861666666666667,12
160,0.8281666666666667,13
161,0.7061666666666667,14
162,0.786,15
163,0.7726666666666666,16
164,0.8166666666666667,17
165,0.8036666666666666,18
166,0.7773333333333333,19
167,0.798,20
168,0.7196666666666667,0
169,0.8095,1
170,0.7888333333333334,2
171,0.77,3
172,0.7858333333333334,4
173,0.7986666666666666,5
174,0.8271666666666667,6
175,0.849,7
176,0.7715,8
177,0.8075,9
178,0.8581666666666666,10
179,0.8033333333333333,11
180,0.7266666666666667,12
181,0.8108333333333333,13
182,0.8255,14
183,0.8166666666666667,15
184,0.7846666666666666,16
185,0.8051666666666667,17
186,0.8741666666666666,18
187,0.7958333333333333,19
188,0.8246666666666667,20
189,0.6281666666666667,0
190,0.8128333333333333,1
191,0.8208333333333333,2
192,0.7808333333333334,3
193,0.8206666666666667,4
194,0.7513333333333333,5
195,0.8528333333333333,6
196,0.8113333333333334,7
197,0.7881666666666667,8
198,0.7576666666666667,9
199,0.8255,10
200,0.7941666666666667,11
201,0.8691666666666666,12
202,0.7871666666666667,13
203,0.8511666666666666,14
204,0.801,15
205,0.8486666666666667,16
206,0.833,17
207,0.821,18
208,0.877,19
209,0.7756666666666666,20
