,L2,Round
0,0.09718253158075502,0
1,0.05033222956847166,1
2,0.026082026547865053,2
3,0.024845199749997663,3
4,0.018924236358783028,4
5,0.011750194089630368,5
6,0.015634719199411437,6
7,0.013584712216226489,7
8,0.009609167675529232,8
9,0.012140522651411393,9
10,0.010040874246776098,10
11,0.1885618083164127,0
12,0.0687992248018343,1
13,0.04914230342988165,2
14,0.04779069592801459,3
15,0.04048602792693149,4
16,0.03594319427916973,5
17,0.03464101615137756,6
18,0.0315862817521314,7
19,0.023439279326118223,8
20,0.021295885499998002,9
21,0.0200817484935522,10
22,0.13333333333333333,0
23,0.06429100507328636,1
24,0.0521640530957301,2
25,0.04648111258522642,3
26,0.049236596391733105,4
27,0.04762609133591467,5
28,0.031622776601683805,6
29,0.028414464208214585,7
30,0.027008428628667813,8
31,0.02586376307428623,9
32,0.022098479249241892,10
33,0.1632993161855452,0
34,0.04830458915396479,1
35,0.03734377890799553,2
36,0.015713484026367724,3
37,0.017799000188592023,4
38,0.011750194089630368,5
39,0.016996731711975955,6
40,0.015376850138586392,7
41,0.013245323570650442,8
42,0.00673435029701474,9
43,0.012168735959236713,10
44,0.15456030825826172,0
45,0.06271629240742259,1
46,0.0568444589824444,2
47,0.027216552697590865,3
48,0.029223184124221084,4
49,0.0169114178952217,5
50,0.017638342073763944,6
51,0.014207232104107292,7
52,0.008039606482378668,8
53,0.01346870059402948,9
54,0.016745246388828034,10
55,0.13944333775567927,0
56,0.05416025603090639,1
57,0.029738085706659038,2
58,0.015713484026367724,3
59,0.01659765325773231,4
60,0.015060692467270178,5
61,0.014907119849998604,6
62,0.02023506611818656,7
63,0.015193428136569103,8
64,0.005832118435198043,9
65,0.009558627505994868,10
66,0.11785113019775792,0
67,0.036514837167011066,1
68,0.027969857439216025,2
69,0.020786985482077452,3
70,0.015302280209639517,4
71,0.02531848417709168,5
72,0.02260776661041757,6
73,0.015376850138586395,7
74,0.009609167675529232,8
75,0.009523809523809525,9
76,0.009050721736809273,10
77,0.14719601443879746,0
78,0.04830458915396479,1
79,0.0399829895803492,2
80,0.015713484026367724,3
81,0.015302280209639517,4
82,0.015060692467270178,5
83,0.014142135623730954,6
84,0.008985442539129099,7
85,0.011570970138835898,8
86,0.004761904761904762,9
87,0.009050721736809271,10
88,0.10801234497346433,0
89,0.05033222956847166,1
90,0.02182178902359924,2
91,0.019245008972987525,3
92,0.019986221148898364,4
93,0.018578688136140314,5
94,0.014907119849998604,6
95,0.012245094114506663,7
96,0.012711733987885474,8
97,0.012598815766974244,9
98,0.013282828101321274,10
99,0.2173067468400883,0
100,0.07571877794400364,1
101,0.03140691894826885,2
102,0.019245008972987525,3
103,0.01659765325773231,4
104,0.016012815380508725,5
105,0.014142135623730954,6
106,0.014803596931903433,7
107,0.007126349477750845,8
108,0.007529232524210429,9
109,0.005886984351185476,10
