,L2,Round
0,0.09718253158075502,0
1,0.29149355741398913,1
2,0.27933449975726604,2
3,0.23730822308500846,3
4,0.17657009130995913,4
5,0.14975498679091334,5
6,0.1885618083164127,0
7,0.2809931526903336,1
8,0.11769678373119212,2
9,0.10593380135532433,3
10,0.07279275721841848,4
11,0.054738974194060416,5
12,0.13333333333333333,0
13,0.5017141379754874,1
14,0.269103366008788,2
15,0.17355384543073196,3
16,0.12068256386599767,4
17,0.11192171922873068,5
18,0.1632993161855452,0
19,0.21480343735185575,1
20,0.29433844139331505,2
21,0.19718988269237034,3
22,0.13917270721948116,4
23,0.1607443724047931,5
24,0.15456030825826172,0
25,0.116285722469087,1
26,0.2135275504068864,2
27,0.15886105713777277,3
28,0.10402575508034904,4
29,0.06645227411438562,5
30,0.13944333775567927,0
31,0.25090887090671965,1
32,0.17711609178545235,2
33,0.1517886969309605,3
34,0.12150967274648761,4
35,0.11032703736292628,5
36,0.11785113019775792,0
37,0.36247243121380146,1
38,0.21820638304005469,2
39,0.14268508156737914,3
40,0.12478073865056907,4
41,0.12089360516485237,5
42,0.14719601443879746,0
43,0.300529882806997,1
44,0.28649363177147613,2
45,0.22219387574309388,3
46,0.18444887300232155,4
47,0.14659336865993525,5
48,0.10801234497346433,0
49,0.21799192391230748,1
50,0.20545999432071932,2
51,0.2389930163824178,3
52,0.1928720869935797,4
53,0.19449326627953734,5
54,0.2173067468400883,0
55,0.17841103607843586,1
56,0.3536056516992437,2
57,0.22972592036660597,3
58,0.21031546073147625,4
59,0.15641717813626504,5
