,L2,Round
0,0.09718253158075502,0
1,0.043969686527576386,1
2,0.03868589716493314,2
3,0.027216552697590865,3
4,0.023764222941451703,4
5,0.016911417895221704,5
6,0.1885618083164127,0
7,0.06271629240742259,1
8,0.04364357804719847,2
9,0.034246744460938755,3
10,0.029921844936562882,4
11,0.02412165092593178,5
12,0.13333333333333333,0
13,0.06429100507328635,1
14,0.026082026547865053,2
15,0.02357022603955158,3
16,0.015302280209639517,4
17,0.011750194089630368,5
18,0.1632993161855452,0
19,0.08906926143924924,1
20,0.04364357804719847,2
21,0.02832788618662658,3
22,0.019986221148898364,4
23,0.01601281538050872,5
24,0.15456030825826172,0
25,0.07702813338860895,1
26,0.04479735171958756,2
27,0.0376796110173626,3
28,0.021956631433620363,4
29,0.021529302081726508,5
30,0.13944333775567927,0
31,0.04163331998932265,1
32,0.03734377890799553,2
33,0.03513641844631533,3
34,0.03617374662519189,4
35,0.025896166508620727,5
36,0.11785113019775792,0
37,0.04163331998932265,1
38,0.026082026547865053,2
39,0.029397236789606564,3
40,0.01779900018859202,4
41,0.0169114178952217,5
42,0.14719601443879746,0
43,0.05597618541248888,1
44,0.029738085706659045,2
45,0.024845199749997663,3
46,0.021956631433620363,4
47,0.017764623667373112,5
48,0.10801234497346433,0
49,0.04163331998932265,1
50,0.02608202654786505,2
51,0.024845199749997663,3
52,0.029921844936562882,4
53,0.025896166508620727,5
54,0.2173067468400883,0
55,0.07571877794400364,1
56,0.0399829895803492,2
57,0.03333333333333333,3
58,0.03060456041927903,4
59,0.020108188642766835,5
